id,image_id,expression,use_negation,distractors,image_source,human_authored,token_count,stratum,D0_acc_iou_0.5,D0_iou,D0_pointing,D0_target_mass,A4_acc_iou_0.5,A4_iou,A4_pointing,A4_target_mass,S4_acc_iou_0.5,S4_iou,S4_pointing,S4_target_mass,A8_acc_iou_0.5,A8_iou,A8_pointing,A8_target_mass,A4_minus_S4,A8_minus_S4
refadv:0,refadv:0,the computer screen that is in the middle vertically of the three stacks,False,5,coco_val2017,True,13,absolute,0.0,0.07377467304468155,0.0,0.06382555514574051,0.0,0.0,0.0,0.04309689626097679,0.0,0.0,0.0,0.05190972611308098,0.0,0.0,0.0,0.043984461575746536,0.0,0.0
refadv:1,refadv:1,background person not leaning back,True,5,coco_val2017,True,5,logical,0.0,0.051979247480630875,0.0,0.044340770691633224,0.0,0.04690862074494362,0.0,0.05587618052959442,0.0,0.07885802537202835,0.0,0.06851403415203094,0.0,0.04872220754623413,0.0,0.056718047708272934,0.0,0.0
refadv:2,refadv:2,person with zipper open not holding anything,True,5,coco_val2017,True,7,logical,0.0,0.0449565052986145,0.3333333432674408,0.06487096101045609,0.0,0.04322800412774086,0.0,0.042513053864240646,0.0,0.0425618477165699,0.3333333432674408,0.03553444519639015,0.0,0.04469512775540352,0.0,0.026497503742575645,0.0,0.0
refadv:3,refadv:3,the woman looking at an apple laptop without glasses,True,4,coco_val2017,True,9,logical,0.0,0.001877386006526649,0.0,0.0719607025384903,0.0,0.07157841324806213,0.6666666865348816,0.1421247273683548,0.0,0.0979420617222786,0.3333333432674408,0.13282859325408936,0.0,0.1277862787246704,0.6666666865348816,0.18174569308757782,0.0,0.0
refadv:4,refadv:4,the person looking at screen holding nothing,True,3,coco_val2017,True,7,logical,0.0,0.22068560123443604,0.0,0.24912504851818085,0.0,0.39686688780784607,1.0,0.41731536388397217,0.3333333432674408,0.3885694444179535,1.0,0.38739249110221863,0.0,0.3120099604129791,1.0,0.3230181038379669,-0.3333333432674408,-0.3333333432674408
refadv:5,refadv:5,the person sitting closer to the one holding a goose feather,False,4,coco_val2017,True,11,relational,0.0,0.0,0.0,0.02769267000257969,0.0,0.0,0.0,0.002456780755892396,0.0,0.0,0.0,0.0021163325291126966,0.0,0.0,0.0,0.0025702347047626972,0.0,0.0
refadv:6,refadv:6,"child in second row from the bottom, third from left",False,5,coco_val2017,True,10,logical,0.0,0.05813303589820862,0.0,0.034769196063280106,0.0,0.021452680230140686,0.0,0.02373279072344303,0.0,0.0,0.0,0.01826414279639721,0.0,0.036440905183553696,0.0,0.032359033823013306,0.0,0.0
refadv:7,refadv:7,the ski pole held by the left hand of the person in the air,False,3,coco_val2017,True,14,relational,0.0,0.021662764251232147,0.0,0.041675373911857605,0.0,0.05403329059481621,0.0,0.03547638654708862,0.0,0.035598453134298325,0.0,0.033183809369802475,0.0,0.061525728553533554,0.0,0.03673189878463745,0.0,0.0
refadv:8,refadv:8,the shoes worn by the person crossing feet,False,5,coco_val2017,True,8,relational,0.0,0.048558559268713,0.6666666865348816,0.05283839628100395,0.0,0.030714785680174828,0.0,0.03029339574277401,0.0,0.008566335774958134,0.0,0.02011418342590332,0.0,0.03123023547232151,0.0,0.03131221607327461,0.0,0.0
refadv:9,refadv:9,the man closest to the photo on the window,False,4,coco_val2017,True,9,logical,0.0,0.030987629666924477,0.0,0.03030533529818058,0.0,0.0,0.0,0.006719402503222227,0.0,0.0,0.0,0.005050712265074253,0.0,0.0,0.0,0.005911119282245636,0.0,0.0
refadv:10,refadv:10,the person who is not facing the camera and not holding it,True,5,coco_val2017,True,12,logical,0.0,0.012644338421523571,0.0,0.016303032636642456,0.0,0.010568690486252308,0.0,0.00995549838989973,0.0,0.0068386816419661045,0.0,0.008386955596506596,0.0,0.007619889918714762,0.0,0.00807634275406599,0.0,0.0
refadv:11,refadv:11,the frisbee held by the man who is on the right hand side of the red person,False,4,coco_val2017,True,17,relational,0.0,0.02145112119615078,0.0,0.023557940497994423,0.0,0.024411914870142937,0.0,0.020449308678507805,0.0,0.03530805557966232,0.0,0.03516854718327522,0.0,0.04424339532852173,0.0,0.042417723685503006,0.0,0.0
refadv:12,refadv:12,the rightmost worker that is holding sth,False,5,coco_val2017,True,7,logical,0.0,0.013979987241327763,0.0,0.00806314218789339,0.0,0.007366914767771959,0.0,0.005777794402092695,0.0,0.02228262461721897,0.3333333432674408,0.02330746315419674,0.0,0.008949571289122105,0.0,0.010006395168602467,0.0,0.0
refadv:13,refadv:13,the frisbee that the child in blue looking at,False,3,coco_val2017,True,9,relational,0.0,0.1441970318555832,1.0,0.1330287903547287,0.0,0.11681967973709106,0.0,0.08282137662172318,0.0,0.1496109813451767,0.6666666865348816,0.1475195288658142,0.0,0.10945004969835281,0.0,0.1082739606499672,0.0,0.0
refadv:14,refadv:14,the upside-down glass that are not in pair with others,True,3,coco_val2017,True,11,logical,0.0,0.055386412888765335,0.0,0.06730600446462631,0.0,0.11498308181762695,0.6666666865348816,0.13314937055110931,0.0,0.10373509675264359,0.6666666865348816,0.12782783806324005,0.0,0.14869363605976105,0.3333333432674408,0.15177468955516815,0.0,0.0
refadv:15,refadv:15,motorcycle on the right hand side of the green motor,False,5,coco_val2017,True,10,relational,0.0,0.0689578428864479,0.0,0.05241522565484047,0.0,0.0,0.0,0.031241044402122498,0.0,0.0,0.0,0.02387900836765766,0.0,0.0,0.0,0.023124365136027336,0.0,0.0
refadv:16,refadv:16,the person outside the fence who is not sitting,True,5,coco_val2017,True,9,logical,0.0,0.03262493386864662,0.0,0.030228765681385994,0.0,0.02820233441889286,0.0,0.02355090342462063,0.0,0.0050069307908415794,0.0,0.005356299225240946,0.0,0.044048890471458435,0.0,0.035670626908540726,0.0,0.0
refadv:17,refadv:17,the person on the surfboard which is not pink nor yellow,True,5,coco_val2017,True,11,logical,0.0,0.06408225744962692,0.0,0.14509569108486176,0.0,0.08749843388795853,0.3333333432674408,0.17740027606487274,0.0,0.1339527666568756,0.3333333432674408,0.17983223497867584,0.0,0.23660480976104736,0.3333333432674408,0.24151504039764404,0.0,0.0
refadv:18,refadv:18,"the four people on the loggia, with exact one person on their left or right loggia",False,5,coco_val2017,True,16,logical,0.0,0.004556278232485056,0.0,0.005242826882749796,0.0,0.0,0.0,0.0008062424603849649,0.0,0.0,0.0,0.0009952449472621083,0.0,0.0,0.0,0.0006226346013136208,0.0,0.0
refadv:19,refadv:19,the smaller pot in front of the cooking pan,False,4,coco_val2017,True,9,logical,0.0,0.058489810675382614,0.0,0.04979550465941429,0.0,0.1169145405292511,0.0,0.059402551501989365,0.0,0.12788836658000946,0.0,0.07477974891662598,0.0,0.12403983622789383,0.0,0.06004739925265312,0.0,0.0
refadv:20,refadv:20,the right door of the carbinet on the top of the microwave,False,7,coco_val2017,True,12,unclassified,0.0,0.0,0.0,0.008067506365478039,0.0,0.0,0.0,0.005105812102556229,0.0,0.0,0.0,0.0033753132447600365,0.0,0.0,0.0,0.0024869844783097506,0.0,0.0
refadv:21,refadv:21,plate with no tableware in it and have the least amount,True,3,coco_val2017,True,11,logical,0.0,0.2731914222240448,0.0,0.21632695198059082,0.0,0.3699318468570709,1.0,0.3981485366821289,0.0,0.22200463712215424,0.6666666865348816,0.2964929938316345,0.0,0.35060015320777893,1.0,0.38586869835853577,0.0,0.0
