id,image_id,expression,finecops_level,finecops_tuple_type,A4_acc_iou_0.5,A4_iou,A4_pointing,A4_target_mass,S4_acc_iou_0.5,S4_iou,S4_pointing,S4_target_mass,A8_acc_iou_0.5,A8_iou,A8_pointing,A8_target_mass,A4_minus_S4,A8_minus_S4
finecops:test:5923,21,Beside the elderly woman pointing is the little and young girl.,1,1_hop,0.0,0.27447038888931274,0.6666666865348816,0.19835643470287323,0.0,0.35460174083709717,1.0,0.2349395900964737,0.0,0.3369356095790863,0.6666666865348816,0.22343654930591583,0.0,0.0
finecops:test:5924,21,The elderly woman who is pointing beside the little and young girl.,1,1_hop,0.3333333432674408,0.5139947533607483,1.0,0.8937552571296692,0.3333333432674408,0.4900345504283905,1.0,0.9068666100502014,0.3333333432674408,0.4811915457248688,1.0,0.9035804867744446,0.0,0.0
finecops:test:8868,22,The train positioned to the right of the palm tree.,1,1_hop,0.6666666865348816,0.5558061599731445,1.0,0.7364996075630188,0.3333333432674408,0.5197826027870178,1.0,0.739827573299408,1.0,0.59145188331604,1.0,0.7599322199821472,0.3333333432674408,0.6666666269302368
finecops:test:8869,22,"The pole positioned to the right of the train, which is itself located to the right of the palm tree.",2,2_hop,0.0,0.0,0.0,0.0059187947772443295,0.0,0.0205393023788929,0.0,0.02354436181485653,0.0,0.0,0.0,0.0028692514169961214,0.0,0.0
finecops:test:8871,28,"To the left of the curtains sits the wood table, which is beside the basket on the left side.",1,2_hop,0.0,0.23747558891773224,0.3333333432674408,0.3799475133419037,0.0,0.2634248733520508,0.3333333432674408,0.40582624077796936,0.0,0.3327578008174896,1.0,0.4585019648075104,0.0,0.0
finecops:test:14619,28,The pillow situated to the left of the large white bowl positioned on the wooden table.,2,2_hop,0.0,0.1518395096063614,1.0,0.13037468492984772,0.0,0.16022221744060516,1.0,0.14102612435817719,0.0,0.14639507234096527,0.3333333432674408,0.11314690113067627,0.0,0.0
finecops:test:14620,28,On the left side of both the white and large bowl and the flowers is the pillow.,2,and,0.0,0.15244443714618683,0.3333333432674408,0.12300068885087967,0.0,0.1572839468717575,0.6666666865348816,0.13635368645191193,0.0,0.13558083772659302,0.3333333432674408,0.0937851294875145,0.0,0.0
finecops:test:9364,59,"The car positioned to the right of the porch, which is itself situated to the left of the building.",2,2_hop,1.0,0.9034488797187805,1.0,0.7395517230033875,1.0,0.7474324107170105,1.0,0.7209256291389465,1.0,0.9034488797187805,1.0,0.7365021705627441,0.0,0.0
finecops:test:9365,59,A car is stationed to the right of the black SUV and the neighboring porch.,2,and,0.6666666865348816,0.5862340331077576,1.0,0.6102654337882996,0.3333333432674408,0.4118013381958008,0.6666666865348816,0.49963316321372986,0.6666666865348816,0.5008219480514526,1.0,0.5633206367492676,0.3333333432674408,0.3333333432674408
finecops:test:9366,59,Blue coloured notice.,2,0_hop,0.0,0.0,0.0,0.0033929285127669573,0.0,0.0,0.0,0.007946903817355633,0.0,0.0,0.0,0.0015444527380168438,0.0,0.0
finecops:test:9367,59,The SUV that is black.,1,0_hop,0.0,0.1033673882484436,0.3333333432674408,0.15110991895198822,0.0,0.1980997771024704,0.0,0.23430271446704865,0.0,0.06133575364947319,0.0,0.1067744717001915,0.0,0.0
finecops:test:10679,59,The suv sharing the same color as the pole.,1,same_attr,0.0,0.0,0.0,0.04676224663853645,0.0,0.0,0.0,0.03638237342238426,0.0,0.0,0.0,0.024563157930970192,0.0,0.0
finecops:test:14729,59,The car is positioned to the left of the black SUV and the porch.,2,and,0.0,0.08331693708896637,0.0,0.11573173850774765,0.0,0.08832699060440063,0.3333333432674408,0.11531075090169907,0.0,0.11827429383993149,0.0,0.1065448746085167,0.0,0.0
finecops:test:14730,59,The sign that is black.,2,0_hop,0.0,0.0,0.0,0.0027230829000473022,0.0,0.0,0.0,0.003518899204209447,0.0,0.0,0.0,0.008947779424488544,0.0,0.0
finecops:test:14731,59,"The sign positioned to the right of the black pole, which is located to the left of the man.",2,2_hop,0.0,0.0,0.0,0.005342969670891762,0.0,0.0,0.0,0.013403690420091152,0.0,0.006194117944687605,0.0,0.013126612640917301,0.0,0.0
finecops:test:14732,59,The sign positioned to the right of the black pole.,2,1_hop,0.0,0.0,0.0,0.01956036500632763,0.0,0.006714994087815285,0.0,0.022601773962378502,0.0,0.011958078481256962,0.0,0.024208014830946922,0.0,0.0
